chan1,chan4,math
3.039992e+00,3.079998e+00,-6.559987e+01
2.879992e+00,2.959998e+00,-5.879984e+01
3.039992e+00,3.039998e+00,-6.759988e+01
2.879992e+00,2.959998e+00,-6.559987e+01
2.879992e+00,3.079998e+00,-7.359990e+01
3.039992e+00,2.959998e+00,-6.279986e+01
3.039992e+00,3.079998e+00,-8.159993e+01
2.879992e+00,2.959998e+00,-7.359990e+01
3.039992e+00,3.079998e+00,-6.679987e+01
7.999273e-02,7.999982e-02,-8.279993e+01
7.999273e-02,-4.000018e-02,-6.359986e+01
-8.000727e-02,7.999982e-02,-7.479990e+01
-8.000727e-02,-4.000018e-02,-6.759988e+01
7.999273e-02,7.999982e-02,-6.679987e+01
7.999273e-02,-4.000018e-02,-6.959988e+01
-8.000727e-02,7.999982e-02,-6.479987e+01
7.999273e-02,-4.000018e-02,-7.959992e+01
-8.000727e-02,7.999982e-02,-6.679987e+01
-8.000727e-02,-4.000018e-02,-7.959992e+01
2.959992e+00,2.999998e+00,-7.359990e+01
3.039992e+00,3.079998e+00,-6.679987e+01
2.879992e+00,2.959998e+00,-8.279993e+01
3.039992e+00,2.959998e+00,-7.359990e+01
2.879992e+00,3.079998e+00,-6.759988e+01
3.039992e+00,2.959998e+00,-6.959988e+01
2.879992e+00,3.079998e+00,-6.959988e+01
2.879992e+00,3.119998e+00,-6.879988e+01
3.039992e+00,2.959998e+00,-7.279990e+01
3.039992e+00,3.119998e+00,-6.359986e+01
-7.271767e-06,-1.788139e-07,-8.079993e+01
7.999273e-02,7.999982e-02,-7.279990e+01
-8.000727e-02,-4.000018e-02,-6.559987e+01
7.999273e-02,-4.000018e-02,-7.279990e+01
-8.000727e-02,7.999982e-02,-6.959988e+01
-8.000727e-02,-4.000018e-02,-8.159993e+01
7.999273e-02,7.999982e-02,-7.159989e+01
7.999273e-02,-4.000018e-02,-7.479990e+01
-8.000727e-02,7.999982e-02,-7.079989e+01
-8.000727e-02,-4.000018e-02,-8.079993e+01
2.959992e+00,3.039998e+00,-7.279990e+01
3.039992e+00,3.079998e+00,-7.679991e+01
2.879992e+00,2.959998e+00,-7.279990e+01
3.039992e+00,3.079998e+00,-8.279993e+01
2.879992e+00,2.959998e+00,-6.679987e+01
3.039992e+00,3.039998e+00,-8.679995e+01
2.879992e+00,2.959998e+00,-6.679987e+01
3.039992e+00,2.959998e+00,-7.559991e+01
2.879992e+00,3.079998e+00,-7.879992e+01
3.039992e+00,3.079998e+00,-7.159989e+01
-7.271767e-06,3.999982e-02,-7.959992e+01
7.999273e-02,-4.000018e-02,-6.959988e+01
-8.000727e-02,7.999982e-02,-7.479990e+01
-8.000727e-02,-4.000018e-02,-7.879992e+01
7.999273e-02,7.999982e-02,-7.479990e+01
-8.000727e-02,-4.000018e-02,-8.279993e+01
7.999273e-02,7.999982e-02,-7.159989e+01
-8.000727e-02,7.999982e-02,-7.759991e+01
7.999273e-02,-4.000018e-02,-8.079993e+01
-8.000727e-02,-4.000018e-02,-7.959992e+01
2.959992e+00,3.039998e+00,-7.879992e+01
3.039992e+00,3.079998e+00,-8.159993e+01
2.879992e+00,2.959998e+00,-7.879992e+01
3.039992e+00,3.079998e+00,-7.079989e+01
2.879992e+00,2.959998e+00,-8.159993e+01
3.039992e+00,2.959998e+00,-6.959988e+01
2.879992e+00,3.079998e+00,-7.159989e+01
3.039992e+00,2.959998e+00,-7.079989e+01
2.879992e+00,3.079998e+00,-7.159989e+01
3.039992e+00,3.119998e+00,-6.959988e+01
-7.271767e-06,-1.788139e-07,-7.479990e+01
7.999273e-02,1.199998e-01,-7.479990e+01
-8.000727e-02,-4.000018e-02,-7.559991e+01
-8.000727e-02,7.999982e-02,-7.679991e+01
7.999273e-02,-4.000018e-02,-7.679991e+01
-8.000727e-02,-4.000018e-02,-8.359994e+01
7.999273e-02,7.999982e-02,-8.679995e+01
-8.000727e-02,-4.000018e-02,-8.159993e+01
7.999273e-02,7.999982e-02,-7.879992e+01
-8.000727e-02,-4.000018e-02,-7.479990e+01
2.959992e+00,3.079998e+00,-7.679991e+01
3.039992e+00,3.079998e+00,-7.159989e+01
2.879992e+00,2.959998e+00,-7.879992e+01
3.039992e+00,3.079998e+00,-6.759988e+01
2.879992e+00,2.959998e+00,-7.079989e+01
3.039992e+00,2.959998e+00,-7.079989e+01
2.879992e+00,3.079998e+00,-7.079989e+01
3.039992e+00,2.959998e+00,-6.959988e+01
2.879992e+00,3.079998e+00,-7.559991e+01
3.039992e+00,3.079998e+00,-6.359986e+01
-7.271767e-06,-1.788139e-07,-6.959988e+01
7.999273e-02,-4.000018e-02,-6.159985e+01
-8.000727e-02,7.999982e-02,-6.359986e+01
7.999273e-02,7.999982e-02,-5.959985e+01
-8.000727e-02,-4.000018e-02,-5.959985e+01
-8.000727e-02,-4.000018e-02,-6.359986e+01
7.999273e-02,7.999982e-02,-5.559983e+01
-8.000727e-02,-4.000018e-02,-6.879988e+01
7.999273e-02,7.999982e-02,-5.159982e+01
-8.000727e-02,-4.000018e-02,-5.359982e+01
2.959992e+00,3.079998e+00,-5.079981e+01
3.039992e+00,3.079998e+00,-3.959977e+01
2.879992e+00,2.959998e+00,-3.359975e+01
3.039992e+00,3.079998e+00,-3.879977e+01
2.879992e+00,2.959998e+00,-4.959981e+01
3.039992e+00,3.079998e+00,-5.159982e+01
2.879992e+00,2.959998e+00,-4.959981e+01
3.039992e+00,3.079998e+00,-5.279982e+01
2.879992e+00,2.959998e+00,-6.279986e+01
3.039992e+00,3.079998e+00,-5.559983e+01
7.999273e-02,-1.788139e-07,-5.679984e+01
7.999273e-02,-4.000018e-02,-5.959985e+01
-8.000727e-02,7.999982e-02,-5.679984e+01
-8.000727e-02,7.999982e-02,-6.959988e+01
7.999273e-02,-4.000018e-02,-5.759984e+01
-8.000727e-02,-4.000018e-02,-6.479987e+01
7.999273e-02,7.999982e-02,-6.159985e+01
-8.000727e-02,-4.000018e-02,-6.079985e+01
7.999273e-02,7.999982e-02,-7.079989e+01
-8.000727e-02,-4.000018e-02,-6.159985e+01
2.959992e+00,3.039998e+00,-6.679987e+01
3.039992e+00,3.079998e+00,-6.559987e+01
2.879992e+00,2.959998e+00,-6.159985e+01
3.039992e+00,2.959998e+00,-7.079989e+01
2.879992e+00,3.079998e+00,-6.079985e+01
3.039992e+00,2.959998e+00,-7.479990e+01
2.879992e+00,3.119998e+00,-6.359986e+01
3.039992e+00,2.959998e+00,-6.479987e+01
2.879992e+00,3.079998e+00,-6.759988e+01
3.039992e+00,3.079998e+00,-6.279986e+01
-7.271767e-06,-1.788139e-07,-7.359990e+01
7.999273e-02,-4.000018e-02,-6.559987e+01
-8.000727e-02,7.999982e-02,-6.759988e+01
7.999273e-02,-4.000018e-02,-7.159989e+01
-8.000727e-02,7.999982e-02,-6.159985e+01
7.999273e-02,-4.000018e-02,-7.879992e+01
-8.000727e-02,7.999982e-02,-6.159985e+01
7.999273e-02,-4.000018e-02,-6.559987e+01
-8.000727e-02,7.999982e-02,-5.959985e+01
-8.000727e-02,-4.000018e-02,-6.959988e+01
2.959992e+00,3.039998e+00,-6.759988e+01
2.879992e+00,3.079998e+00,-6.479987e+01
3.039992e+00,2.959998e+00,-7.479990e+01
3.039992e+00,3.079998e+00,-6.279986e+01
2.879992e+00,2.959998e+00,-6.879988e+01
3.039992e+00,3.079998e+00,-6.559987e+01
2.879992e+00,2.959998e+00,-6.679987e+01
3.039992e+00,3.079998e+00,-7.159989e+01
2.879992e+00,2.959998e+00,-6.679987e+01
3.039992e+00,3.079998e+00,-6.559987e+01
-7.271767e-06,3.999982e-02,-6.679987e+01
7.999273e-02,7.999982e-02,-6.759988e+01
-8.000727e-02,-4.000018e-02,-6.679987e+01
-8.000727e-02,7.999982e-02,-8.559995e+01
7.999273e-02,-4.000018e-02,-6.879988e+01
-8.000727e-02,-4.000018e-02,-6.759988e+01
7.999273e-02,7.999982e-02,-6.479987e+01
7.999273e-02,-4.000018e-02,-7.359990e+01
-8.000727e-02,7.999982e-02,-7.959992e+01
-8.000727e-02,-4.000018e-02,-7.359990e+01
2.959992e+00,3.039998e+00,-6.879988e+01
3.039992e+00,2.959998e+00,-7.079989e+01
2.879992e+00,3.079998e+00,-6.759988e+01
3.039992e+00,3.079998e+00,-7.959992e+01
2.879992e+00,2.959998e+00,-6.159985e+01
3.039992e+00,3.039998e+00,-7.479990e+01
2.879992e+00,2.959998e+00,-6.759988e+01
2.879992e+00,3.079998e+00,-6.559987e+01
3.039992e+00,2.959998e+00,-6.679987e+01
3.039992e+00,3.079998e+00,-6.759988e+01
7.999273e-02,-1.788139e-07,-6.879988e+01
7.999273e-02,-4.000018e-02,-6.359986e+01
-8.000727e-02,7.999982e-02,-7.559991e+01
7.999273e-02,-4.000018e-02,-6.479987e+01
-8.000727e-02,7.999982e-02,-6.679987e+01
-8.000727e-02,7.999982e-02,-7.279990e+01
7.999273e-02,-4.000018e-02,-6.959988e+01
7.999273e-02,7.999982e-02,-8.359994e+01
-8.000727e-02,-4.000018e-02,-7.159989e+01
-8.000727e-02,-4.000018e-02,-6.759988e+01
2.959992e+00,3.039998e+00,-7.159989e+01
3.039992e+00,3.079998e+00,-7.359990e+01
2.879992e+00,2.959998e+00,-7.279990e+01
3.039992e+00,2.999998e+00,-7.279990e+01
2.879992e+00,3.079998e+00,-6.679987e+01
3.039992e+00,3.079998e+00,-6.879988e+01
2.879992e+00,2.959998e+00,-7.079989e+01
3.039992e+00,2.999998e+00,-7.479990e+01
2.879992e+00,3.119998e+00,-7.159989e+01
3.039992e+00,3.079998e+00,-7.359990e+01
-7.271767e-06,3.999982e-02,-7.359990e+01
7.999273e-02,7.999982e-02,-7.679991e+01
-8.000727e-02,-4.000018e-02,-6.759988e+01
-8.000727e-02,-4.000018e-02,-7.079989e+01
7.999273e-02,7.999982e-02,-7.479990e+01
-8.000727e-02,-4.000018e-02,-6.759988e+01
7.999273e-02,7.999982e-02,-7.159989e+01
7.999273e-02,-4.000018e-02,-6.759988e+01
-8.000727e-02,7.999982e-02,-7.159989e+01
-8.000727e-02,-4.000018e-02,-7.679991e+01
2.959992e+00,2.999998e+00,-7.359990e+01
3.039992e+00,2.959998e+00,-6.159985e+01
2.879992e+00,3.079998e+00,-5.679984e+01
3.039992e+00,3.079998e+00,-7.359990e+01
2.879992e+00,2.959998e+00,-6.679987e+01
3.039992e+00,2.959998e+00,-7.879992e+01
2.879992e+00,3.079998e+00,-7.359990e+01
3.039992e+00,2.959998e+00,-6.559987e+01
2.879992e+00,3.119998e+00,-7.159989e+01
3.039992e+00,3.079998e+00,-6.479987e+01
7.999273e-02,-1.788139e-07,-7.479990e+01
7.999273e-02,-4.000018e-02,-6.759988e+01
-8.000727e-02,7.999982e-02,-6.759988e+01
7.999273e-02,-4.000018e-02,-7.079989e+01
-8.000727e-02,7.999982e-02,-6.759988e+01
7.999273e-02,7.999982e-02,-7.479990e+01
-8.000727e-02,-4.000018e-02,-6.959988e+01
-8.000727e-02,7.999982e-02,-7.159989e+01
7.999273e-02,-4.000018e-02,-6.679987e+01
-8.000727e-02,-4.000018e-02,-7.759991e+01
2.959992e+00,3.039998e+00,-7.079989e+01
3.039992e+00,3.079998e+00,-6.879988e+01
2.879992e+00,2.959998e+00,-7.159989e+01
3.039992e+00,3.119998e+00,-7.159989e+01
2.879992e+00,2.959998e+00,-6.759988e+01
3.039992e+00,2.959998e+00,-7.559991e+01
2.879992e+00,3.119998e+00,-6.479987e+01
3.039992e+00,3.119998e+00,-7.879992e+01
2.879992e+00,2.959998e+00,-6.679987e+01
3.039992e+00,3.079998e+00,-7.959992e+01
-7.271767e-06,-1.788139e-07,-6.959988e+01
7.999273e-02,7.999982e-02,-6.759988e+01
-8.000727e-02,-4.000018e-02,-7.879992e+01
-8.000727e-02,7.999982e-02,-7.279990e+01
7.999273e-02,-4.000018e-02,-6.759988e+01
-8.000727e-02,7.999982e-02,-7.079989e+01
7.999273e-02,-4.000018e-02,-7.279990e+01
-8.000727e-02,7.999982e-02,-6.479987e+01
7.999273e-02,-4.000018e-02,-8.679995e+01
-8.000727e-02,-4.000018e-02,-6.479987e+01
2.959992e+00,3.039998e+00,-7.679991e+01
3.039992e+00,3.079998e+00,-6.559987e+01
2.879992e+00,2.959998e+00,-7.159989e+01
3.039992e+00,3.079998e+00,-7.079989e+01
2.959992e+00,2.959998e+00,-6.879988e+01
3.039992e+00,3.079998e+00,-7.559991e+01
2.879992e+00,2.959998e+00,-7.159989e+01
3.039992e+00,3.079998e+00,-7.279990e+01
2.879992e+00,2.959998e+00,-7.479990e+01
3.039992e+00,3.079998e+00,-6.479987e+01
7.999273e-02,3.999982e-02,-7.159989e+01
7.999273e-02,-4.000018e-02,-7.879992e+01
-8.000727e-02,7.999982e-02,-7.359990e+01
7.999273e-02,-4.000018e-02,-7.279990e+01
-8.000727e-02,7.999982e-02,-7.159989e+01
7.999273e-02,-4.000018e-02,-7.159989e+01
-8.000727e-02,7.999982e-02,-6.879988e+01
-8.000727e-02,-4.000018e-02,-7.359990e+01
7.999273e-02,7.999982e-02,-7.279990e+01
-8.000727e-02,-4.000018e-02,-6.479987e+01
2.959992e+00,3.039998e+00,-7.559991e+01
3.039992e+00,2.999998e+00,-6.479987e+01
2.879992e+00,3.079998e+00,-7.279990e+01
3.039992e+00,3.079998e+00,-8.559995e+01
2.879992e+00,2.959998e+00,-6.679987e+01
3.039992e+00,3.079998e+00,-7.359990e+01
2.879992e+00,2.959998e+00,-6.679987e+01
3.039992e+00,2.959998e+00,-7.359990e+01
2.879992e+00,3.079998e+00,-7.079989e+01
3.039992e+00,3.079998e+00,-6.759988e+01
7.999273e-02,-1.788139e-07,-7.079989e+01
7.999273e-02,7.999982e-02,-6.879988e+01
-8.000727e-02,-4.000018e-02,-7.279990e+01
-8.000727e-02,-4.000018e-02,-6.479987e+01
7.999273e-02,7.999982e-02,-7.079989e+01
-8.000727e-02,7.999982e-02,-6.759988e+01
7.999273e-02,-4.000018e-02,-6.759988e+01
-8.000727e-02,7.999982e-02,-6.959988e+01
7.999273e-02,-4.000018e-02,-7.759991e+01
-8.000727e-02,-4.000018e-02,-6.959988e+01
2.959992e+00,3.039998e+00,-6.879988e+01
3.039992e+00,2.999998e+00,-6.479987e+01
2.879992e+00,3.079998e+00,-7.079989e+01
3.039992e+00,2.959998e+00,-8.079993e+01
2.879992e+00,3.079998e+00,-6.879988e+01
3.039992e+00,2.959998e+00,-7.079989e+01
2.879992e+00,3.079998e+00,-6.559987e+01
3.039992e+00,3.079998e+00,-6.879988e+01
2.879992e+00,2.959998e+00,-7.359990e+01
3.039992e+00,3.079998e+00,-6.559987e+01
-7.271767e-06,-1.788139e-07,-7.479990e+01
7.999273e-02,-4.000018e-02,-6.279986e+01
-8.000727e-02,7.999982e-02,-6.679987e+01
-8.000727e-02,-4.000018e-02,-6.559987e+01
7.999273e-02,7.999982e-02,-5.959985e+01
7.999273e-02,-4.000018e-02,-7.079989e+01
-8.000727e-02,7.999982e-02,-5.959985e+01
7.999273e-02,-4.000018e-02,-5.959985e+01
-8.000727e-02,7.999982e-02,-5.759984e+01
-8.000727e-02,-4.000018e-02,-5.079981e+01
2.959992e+00,3.039998e+00,-6.359986e+01
3.039992e+00,3.079998e+00,-3.879977e+01
2.879992e+00,2.959998e+00,-3.479975e+01
3.039992e+00,2.999998e+00,-4.359978e+01
2.879992e+00,3.079998e+00,-4.759980e+01
3.039992e+00,3.079998e+00,-5.559983e+01
2.879992e+00,2.959998e+00,-5.359982e+01
3.039992e+00,3.079998e+00,-6.959988e+01
2.879992e+00,2.959998e+00,-5.559983e+01
3.039992e+00,3.079998e+00,-5.959985e+01
-7.271767e-06,-1.788139e-07,-6.159985e+01
7.999273e-02,7.999982e-02,-5.959985e+01
-8.000727e-02,-4.000018e-02,-7.559991e+01
7.999273e-02,7.999982e-02,-6.079985e+01
-8.000727e-02,-4.000018e-02,-6.159985e+01
7.999273e-02,7.999982e-02,-5.959985e+01
-8.000727e-02,-4.000018e-02,-5.959985e+01
-8.000727e-02,-4.000018e-02,-6.079985e+01
7.999273e-02,7.999982e-02,-7.479990e+01
-8.000727e-02,-4.000018e-02,-6.479987e+01
2.959992e+00,3.039998e+00,-6.159985e+01
3.039992e+00,3.079998e+00,-6.479987e+01
2.879992e+00,2.959998e+00,-6.079985e+01
3.039992e+00,2.959998e+00,-6.959988e+01
2.879992e+00,3.079998e+00,-6.159985e+01
3.039992e+00,2.959998e+00,-6.879988e+01
2.959992e+00,3.119998e+00,-6.359986e+01
3.039992e+00,2.959998e+00,-6.679987e+01
2.879992e+00,3.079998e+00,-7.359990e+01
3.039992e+00,3.079998e+00,-6.559987e+01
7.999273e-02,-1.788139e-07,-7.359990e+01
7.999273e-02,-4.000018e-02,-6.759988e+01
-8.000727e-02,7.999982e-02,-6.479987e+01
-8.000727e-02,-4.000018e-02,-6.759988e+01
7.999273e-02,7.999982e-02,-6.559987e+01
-8.000727e-02,7.999982e-02,-7.079989e+01
7.999273e-02,-4.000018e-02,-6.479987e+01
7.999273e-02,7.999982e-02,-6.679987e+01
-8.000727e-02,-4.000018e-02,-6.879988e+01
-8.000727e-02,-4.000018e-02,-6.479987e+01
2.959992e+00,3.039998e+00,-9.159997e+01
3.039992e+00,2.999998e+00,-6.159985e+01
2.879992e+00,3.079998e+00,-7.159989e+01
3.039992e+00,3.079998e+00,-6.679987e+01
2.879992e+00,2.959998e+00,-6.879988e+01
3.039992e+00,2.999998e+00,-7.679991e+01
2.879992e+00,3.079998e+00,-6.159985e+01
3.039992e+00,2.959998e+00,-6.879988e+01
2.879992e+00,3.079998e+00,-7.479990e+01
3.039992e+00,3.079998e+00,-6.559987e+01
-7.271767e-06,3.999982e-02,-6.679987e+01
7.999273e-02,-4.000018e-02,-6.959988e+01
-8.000727e-02,7.999982e-02,-6.959988e+01
-8.000727e-02,-4.000018e-02,-6.479987e+01
7.999273e-02,7.999982e-02,-6.959988e+01
7.999273e-02,-4.000018e-02,-7.559991e+01
-8.000727e-02,7.999982e-02,-6.479987e+01
-8.000727e-02,7.999982e-02,-6.759988e+01
7.999273e-02,-4.000018e-02,-6.559987e+01
-8.000727e-02,-4.000018e-02,-6.759988e+01
2.959992e+00,2.999998e+00,-6.479987e+01
3.039992e+00,2.959998e+00,-6.559987e+01
2.879992e+00,3.079998e+00,-6.559987e+01
2.879992e+00,2.999998e+00,-7.359990e+01
3.039992e+00,3.079998e+00,-6.959988e+01
3.039992e+00,3.079998e+00,-7.359990e+01
2.879992e+00,2.959998e+00,-7.079989e+01
3.039992e+00,3.079998e+00,-7.759991e+01
2.879992e+00,2.959998e+00,-6.759988e+01
3.039992e+00,3.079998e+00,-6.559987e+01
-7.271767e-06,-1.788139e-07,-6.559987e+01
7.999273e-02,-4.000018e-02,-6.679987e+01
-8.000727e-02,7.999982e-02,-6.479987e+01
7.999273e-02,7.999982e-02,-7.479990e+01
-8.000727e-02,-4.000018e-02,-6.679987e+01
7.999273e-02,-4.000018e-02,-7.279990e+01
-8.000727e-02,7.999982e-02,-6.359986e+01
7.999273e-02,7.999982e-02,-7.559991e+01
-8.000727e-02,-4.000018e-02,-7.079989e+01
-8.000727e-02,-4.000018e-02,-6.359986e+01
2.959992e+00,3.039998e+00,-6.959988e+01
3.039992e+00,2.959998e+00,-6.479987e+01
2.879992e+00,3.079998e+00,-7.759991e+01
3.039992e+00,2.999998e+00,-6.679987e+01
2.879992e+00,3.079998e+00,-7.679991e+01
2.879992e+00,3.079998e+00,-8.759995e+01
3.039992e+00,2.959998e+00,-6.559987e+01
2.879992e+00,3.079998e+00,-7.959992e+01
3.039992e+00,2.959998e+00,-6.879988e+01
3.039992e+00,3.079998e+00,-6.879988e+01
-7.271767e-06,3.999982e-02,-6.679987e+01
7.999273e-02,7.999982e-02,-7.479990e+01
-8.000727e-02,-4.000018e-02,-7.759991e+01
-8.000727e-02,7.999982e-02,-7.359990e+01
7.999273e-02,-4.000018e-02,-7.159989e+01
-8.000727e-02,7.999982e-02,-6.879988e+01
7.999273e-02,-4.000018e-02,-7.079989e+01
-8.000727e-02,7.999982e-02,-7.479990e+01
7.999273e-02,-4.000018e-02,-6.479987e+01
-8.000727e-02,-4.000018e-02,-8.159993e+01
2.959992e+00,3.039998e+00,-7.479990e+01
3.039992e+00,3.079998e+00,-6.679987e+01
